master_key,wt_name,wt_image,rw_name,rw_image_name,nation,wt_display_name_new,clean_key,stats_role,stats_rank,stats_br_rb,stats_max_speed,stats_climb,wiki_nation,wiki_friendly_name
a_4e_early_iaf,A 4E Early Iaf,a_4e_early_iaf.png,A 4E Early Iaf,RW_a_4e_early_iaf_rw.png,USA,A-4E Early,a4eearly,Strike aircraft,VI,8.7,"at 0 m 1,081 km/h",40 m/s,Israel,A-4E Early (M)
a_4e_late_iaf,A 4E Late Iaf,a_4e_late_iaf.png,A 4E Late Iaf,RW_a_4e_late_iaf_rw.png,STILL_NOT_FOUND,A-4E,a4elate,Strike aircraft,VI,8.7,"at 0 m 1,081 km/h",40 m/s,Israel,A-4E
a_4h,A 4H,a_4h.png,A-4H,RW_a_4h_rw.png,Israel,ï ™A-4H,a4h,Strike aircraft,VI,9,"at 0 m 1,087 km/h",55 m/s,Israel,A-4H
a_4n,A 4N,a_4n.png,A 4N,RW_a_4n_rw.png,France,Ayit,a4n,Strike aircraft,VI,9.7,"at 1,524 m 1,105 km/h",67 m/s,Israel,Ayit
a_5c,A 5C,a_5c.png,A-5C,RW_a_5c_rw.png,China,A-5C,a5c,Strike aircraft,VII,10.7,"at 7,000 m 1,447 km/h",162 m/s,China,A-5C
a_6e_tram,A 6E Tram,a_6e_tram.png,A-6EÂ TRAM,RW_a_6e_tram_rw.png,USA,A-6E TRAM,a6etram,Strike aircraft,VII,10.7,"at 0 m 1,055 km/h",44.3 m/s,USA,A-6E TRAM
a_7d,A 7D,a_7d.png,A-7D,RW_a_7d_rw.png,USA,A-7D,a7d,Strike aircraft,VII,10.3,"at 0 m 1,123 km/h",55 m/s,USA,A-7D
a_7e,A 7E,a_7e.png,A-7E,RW_a_7e_rw.png,Japan,A-7E,a7e,Strike aircraft,VII,10.3,"at 0 m 1,123 km/h",55 m/s,USA,A-7E
a_7e_thailand,A 7E Thailand,a_7e_thailand.png,A 7E Thailand,RW_a_7e_thailand_rw.png,STILL_NOT_FOUND,A 7E Thailand,a7ethailand,Strike aircraft,VII,10.3,"at 0 m 1,1231,1081,1331,113 km/h",5541.868.942.1 m/s,Japan,▄A-7E
a_7k,A 7K,a_7k.png,A-7K,RW_a_7k_rw.png,USA,A-7K,a7k,Strike aircraft,VII,11,"at 0 m 1,123 km/h",55 m/s,USA,A-7K
a2d,A2D,a2d.png,A2D,RW_a2d_rw.png,USA,A2D-1,a2d,Strike aircraft,V,7,"at 8,534 m 796 km/h",34.432.136.532.4 m/s,USA,A2D-1
a5m4,A5M4,a5m4.png,A5M4,RW_a5m4_rw.png,Japan,A5M4,a5m4,Fighter,I,1.3,"at 2,900 m 447 km/h",12.8 m/s,Japan,A5M4
a5m4_hagiri,A5M4 Hagiri,a5m4_hagiri.png,A5M4 Hagiri,RW_a5m4_hagiri_rw.png,Japan,Hagiri's A5M4,a5m4hagiri,Fighter,I,1.3,"at 2,900 m 447421464431 km/h",12.89.916.79.9 m/s,Japan,Hagiri's A5M4
a6m2_mod11,A6M2 Mod11,a6m2_mod11.png,A6M2 Mod11,RW_a6m2_mod11_rw.png,Japan,B6N1 Model 11,a6m2mod11,Fighter,II,3.7,"at 4,400 m 510476532491 km/h",13.310.117.310.1 m/s,Japan,A6M2 mod. 11
a6m2_n_zero,A6M2 N Zero,a6m2_n_zero.png,A6M2 N Zero,RW_a6m2_n_zero_rw.png,Japan,A6M2-N,a6m2nzero,Fighter,II,2.3,"at 4,300 m 432 km/h",12.3 m/s,Japan,A6M2-N
a6m2_zero,A6M2 Zero,a6m2_zero.png,A6M2 Zero,RW_a6m2_zero_rw.png,Japan,A6M2,a6m2zero,Fighter,III,3.7,"at 4,400 m 510475532491 km/h",13.310.217.210.2 m/s,USA,▃A6M2
a6m2_zero_china,A6M2 Zero China,a6m2_zero_china.png,A6M2 Zero China,RW_a6m2_zero_china_rw.png,China,A6M2 Zero China,a6m2zerochina,Fighter,III,3.7,"at 4,400 m 510475532491 km/h",13.310.217.210.2 m/s,China,␗A6M2
a6m2_zero_usa,A6M2 Zero Usa,a6m2_zero_usa.png,A6M2 Zero Usa,RW_a6m2_zero_usa_rw.png,USA,A6M2 Zero Usa,a6m2zero,Fighter,III,3.7,"at 4,400 m 510475532491 km/h",13.310.217.210.2 m/s,USA,▃A6M2
a6m3_mod22_zero,A6M3 Mod22 Zero,a6m3_mod22_zero.png,A6M3 Mod22 Zero,RW_a6m3_mod22_zero_rw.png,Japan,A6M3 mod. 22,a6m3mod22zero,Fighter,III,4.3,"at 6,000 m 542 km/h",13.8 m/s,Japan,A6M3 mod. 22
a6m3_mod22ko_zero,A6M3 Mod22Ko Zero,a6m3_mod22ko_zero.png,A6M3 Mod22Ko Zero,RW_a6m3_mod22ko_zero_rw.png,Japan,A6M3 mod. 22Ko,a6m3mod22kozero,Fighter,III,5,"at 6,000 m 542 km/h",13.8 m/s,Japan,A6M3 mod. 22Ko
a6m3_zero,A6M3 Zero,a6m3_zero.png,A6M3 Zero,RW_a6m3_zero_rw.png,Japan,A6M3,a6m3zero,Fighter,III,4,"at 6,000 m 556521578537 km/h",13.810.417.910.4 m/s,Japan,A6M3
a6m5_zero,A6M5 Zero,a6m5_zero.png,A6M5 Zero,RW_a6m5_zero_rw.png,Japan,A6M5 Zero,a6m5zero,Fighter,III,5,"at 6,000 m 565 km/h",15.6 m/s,Japan,A6M5
a6m5hei,A6M5Hei,a6m5hei.png,A6M5Hei,RW_a6m5hei_rw.png,Japan,A6M5 Hei,a6m5hei,Fighter,IV,5,"at 6,000 m 540 km/h",11.1 m/s,Japan,A6M5 Hei
a6m5ko,A6M5Ko,a6m5ko.png,A6M5Ko,RW_a6m5ko_rw.png,Japan,A6M5,a6m5ko,Fighter,IV,5.3,"at 6,000 m 540 km/h",16.9 m/s,Japan,A6M5 Ko
a6m5otsu,A6M5Otsu,a6m5otsu.png,A6M5Otsu,RW_a6m5otsu_rw.png,Japan,A6M5 Otsu,a6m5otsu,Fighter,IV,5.3,"at 6,000 m 540 km/h",16.9 m/s,Japan,A6M5 Otsu
a6m6c,A6M6C,a6m6c.png,A6M6c,RW_a6m6c_rw.png,Japan,A6M6c,a6m6c,Fighter,IV,5,"at 6,400 m 543 km/h",10.8 m/s,Japan,A6M6c
a7he1,A7He1,a7he1.png,A7He1,RW_a7he1_rw.png,Japan,A7He1,a7he1,Fighter,II,2,"at 2,800 m 502466525482 km/h",13.81117.311 m/s,Japan,A7He1
a7m1,A7M1,a7m1.png,A7M1,RW_a7m1_rw.png,USA,A7M1 (NK9H),a7m1,Fighter,IV,5,"at 6,900 m 617577641594 km/h",16.913.62113.6 m/s,Japan,A7M1 (NK9H)
a7m2,A7M2,a7m2.png,A7M2,RW_a7m2_rw.png,Japan,A7M2,a7m2,Fighter,IV,5.3,"at 5,660 m 630 km/h",18.5 m/s,Japan,A7M2
ad_2,AD-2,douglas_ad_2.png,AD-2,RW_ad_2.png,,AD-2,ad2,Strike aircraft,IV,5.7,"at 5,821 m 593550628562 km/h",1712.722.912.7 m/s,USA,AD-2
aichi_e13a,Aichi E13A,aichi_e13a.png,Aichi E13A,RW_aichi_e13a_rw.png,Japan,Aichi E13A1,aichie13a,Bomber,,3,"at 4,000 m 412 km/h",13.6 m/s,Japan,Aichi E13A1
alpha_jet_a,Alpha Jet A,alpha_jet_a.png,AlphaÂ JetÂ A,RW_alpha_jet_a_rw.png,Japan,Alpha Jet A,alphajeta,Strike aircraft,VI,8.7,"at 0 m 1,0199961,0321,005 km/h",5037.16140.2 m/s,Germany,Alpha Jet A
alpha_jet_a_thailand,Alpha Jet A Thailand,alpha_jet_a_thailand.png,Alpha Jet A Thailand,RW_alpha_jet_a_thailand_rw.png,Germany,Alpha Jet A,alphajetathailand,Strike aircraft,VI,8.7,"at 0 m 1,019 km/h",34.5 m/s,Japan,▄Alpha Jet A
alpha_jet_e,Alpha Jet E,alpha_jet_e.png,AlphaÂ JetÂ E,RW_alpha_jet_e_rw.png,France,Alpha Jet E,alphajete,Strike aircraft,VI,8.7,"at 0 m 1,0199961,0321,005 km/h",5037.16140.2 m/s,France,Alpha Jet E
alpha_jet_th_phase_1,Alpha Jet Th Phase 1,alpha_jet_th_phase_1.png,Alpha Jet Th Phase 1,RW_alpha_jet_th_phase_1_rw.png,Japan,Alpha Jet Th Phase 1,alphajetthphase1,Strike aircraft,VI,10.7,"at 0 m 1,0199971,0321,006 km/h",5034.56338.3 m/s,Japan,▄Alpha Jet TH
am_1,AM-1,am_1_mauler.png,AM-1,RW_am_1.png,,AM-1,am1,Strike aircraft,IV,5.7,"at 3,500 m 589547615565 km/h",14.210.918.410.9 m/s,USA,AM-1
am_1_mauler,Am 1 Mauler,am_1_mauler.png,Am 1 Mauler,RW_am_1_mauler_rw.png,STILL_NOT_FOUND,Am 1 Mauler,am1mauler,Strike aircraft,IV,5.7,"at 3,500 m 589547615565 km/h",14.210.918.410.9 m/s,USA,AM-1
amx,Amx,amx.png,AMX,RW_amx_rw.png,Italy,AMX A-1A,amx,Strike aircraft,VII,10.7,"at 0 m 1,152 km/h",90 m/s,Italy,AMX
amx_a_1a_brazil,Amx A 1A Brazil,amx_a_1a_brazil.png,Amx A 1A Brazil,RW_amx_a_1a_brazil_rw.png,STILL_NOT_FOUND,Amx A 1A Brazil,amxa1abrazil,Strike aircraft,VII,11,"at 0 m 1,152 km/h",90 m/s,Italy,AMX A-1A
ar_2,Ar 2,ar_2.png,Ar-2,RW_ar_2_rw.png,USSR,Ar-2,ar2,Dive bomber,I,2.3,"at 4,700 m 512 km/h",12.5 m/s,USSR,Ar-2
ar_234_b_2,Ar 234 B-2,arado-234.png,Ar 234 B-2,RW_ar_234_b_2.png,,Ar 234 B-2,ar234b2,Bomber,V,6.3,"at 6,000 m 742700769716 km/h",28.524.532.125.2 m/s,Germany,Ar 234 B-2
arado_196a_3,Arado-196A-3,arado-196a-3.png,Arado-196A-3,RW_arado_196a_3_rw.png,Germany,Ar 196 A-3,arado196a3,Bomber,I,1.3,"at 2,000 m 320 km/h",74.1 m/s,Germany,Ar 196 A-3
arado_196a_5,Arado-196A-5,arado-196a-5.png,Arado-196A-5,RW_arado_196a_5_rw.png,Sweden,Ar 196 A-5,arado196a5,Bomber,I,1.3,"at 2,000 m 320 km/h",7 m/s,Sweden,▄Ar 196 A-5
arado_234,Arado-234,arado-234.png,Arado-234,RW_arado_234_rw.png,USSR,Arado-234,arado234,Bomber,V,6.3,"at 6,000 m 742700769716 km/h",28.524.532.125.2 m/s,Germany,Ar 234 B-2
arado_234c_3,Arado-234C-3,arado-234c-3.png,Arado-234C-3,RW_arado_234c_3_rw.png,Germany,Ar 234 C-3,arado234c3,Bomber,V,7.3,at 0 m 857 km/h,28.5 m/s,Germany,Ar 234 C-3
ariete,Ariete,ariete.png,Ariete,RW_ariete_rw.png,Italy,Ariete,ariete,Fighter,VI,9.3,"at 0 m 1,050 km/h",45 m/s,Italy,Ariete
attaker_fb1,Attaker Fb1,attaker_fb1.png,Attaker Fb1,RW_attaker_fb1_rw.png,Great Britain,Attacker FB 1,attakerfb1,Fighter,V,7,at 0 m 922858937887 km/h,2821.433.922.7 m/s,Great Britain,Attacker FB 1
attaker_fb2,Attaker Fb2,attaker_fb2.png,Attaker Fb2,RW_attaker_fb2_rw.png,Great Britain,Attacker FB.2,attakerfb2,Fighter,V,7,at 0 m 922 km/h,28.4 m/s,Great Britain,Attacker FB.2
av_8a,Av 8A,av_8a.png,AV-8A,RW_av_8a_rw.png,USA,AV-8A,av8a,Strike aircraft,VI,9.7,"at 0 m 1,156 km/h",87 m/s,USA,AV-8A
av_8b_na,Av 8B Na,av_8b_na.png,AV-8BÂ (NA),RW_av_8b_na_rw.png,USA,AV-8B (NA),av8bna,Strike aircraft,VII,11.3,"at 0 m 1,134 km/h",102 m/s,USA,AV-8B (NA)
av_8b_plus,Av 8B Plus,av_8b_plus.png,AV-8BÂ Plus,RW_av_8b_plus_rw.png,Italy,AV-8B Plus,av8bplus,Strike aircraft,VIII,13,"at 0 m 1,134 km/h",10283.1 m/s,USA,AV-8B Plus
av_8b_plus_italy,Av 8B Plus Italy,av_8b_plus_italy.png,Av 8B Plus Italy,RW_av_8b_plus_italy_rw.png,USA,AV-8B Plus,av8bplus,Strike aircraft,VIII,13,"at 0 m 1,134 km/h",10283.1 m/s,USA,AV-8B Plus
av_8c,Av 8C,av_8c.png,AV-8C,RW_av_8c_rw.png,USA,AV-8C,av8c,Strike aircraft,VI,9.7,"at 0 m 1,152 km/h",87 m/s,USA,AV-8C
av_8s_late_thailand,Av 8S Late Thailand,av_8s_late_thailand.png,Av 8S Late Thailand,RW_av_8s_late_thailand_rw.png,STILL_NOT_FOUND,AV-8S Late,av8slatethailand,Strike aircraft,VII,11,"at 0 m 1,156 km/h",87 m/s,Japan,▄AV-8S Late
av_8s_thailand,Av 8S Thailand,av_8s_thailand.png,Av 8S Thailand,RW_av_8s_thailand_rw.png,STILL_NOT_FOUND,AV-8S,av8sthailand,Strike aircraft,VI,9.7,"at 0 m 1,156 km/h",87 m/s,Japan,▄AV-8S
avenger_mk1,Avenger Mk1,avenger_mk1.png,Avenger Mk1,RW_avenger_mk1_rw.png,Great Britain,Avenger Mk II,avengermk1,Bomber,II,1.7,"at 3,650 m 432 km/h",5.1 m/s,Great Britain,▄Avenger Mk II
b_10b,B 10B,b_10b.png,B-10B,RW_b_10b_rw.png,USA,B-10B,b10b,Bomber,I,1.3,"at 2,438 m 343320355330 km/h",7.76.29.36.3 m/s,USA,B-10B
b_17e,B-17E,b-17e.png,B-17E,RW_b_17e_rw.png,Japan,B-17E,b17e,Bomber,III,4.7,"at 7,680 m 510482525496 km/h",7.25.68.75.8 m/s,USA,B-17E/L
b_17e_japan,B-17E Japan,b-17e_japan.png,B-17E Japan,RW_b_17e_japan_rw.png,USA,B-17E Japan,b17ejapan,Bomber,IV,4.7,"at 7,680 m 510482525496 km/h",7.25.68.75.8 m/s,Japan,▅B-17E
b_17e_late,B-17E Late,b-17e_late.png,B-17E Late,RW_b_17e_late_rw.png,USA,B-17E/L,b17e,Bomber,III,4.7,"at 7,680 m 510482525496 km/h",7.25.68.75.8 m/s,USA,B-17E/L
b_17g,B-17G,b-17g.png,B-17G,RW_b_17g_rw.png,Israel,ï ™B-17G,b17g,Bomber,IV,5,"at 7,680 m 510476532491 km/h",4.62.37.52.3 m/s,USA,B-17G-60-VE
b_17g_iaf,B-17G Iaf,b-17g_iaf.png,B-17G Iaf,RW_b_17g_iaf_rw.png,Israel,B-17G,b17g,Bomber,IV,5,"at 7,680 m 510476532491 km/h",4.62.37.52.3 m/s,USA,B-17G-60-VE
b_18a,B 18A,b_18a.png,B-18A,RW_b_18a_rw.png,Sweden,B-18A,b18a,Bomber,II,2.7,"at 4,000 m 465 km/h",74.1 m/s,USA,B-18A
b_239_finland,B 239 Finland,b_239_finland.png,B 239 Finland,RW_b_239_finland_rw.png,STILL_NOT_FOUND,B-239,b239finland,Fighter,II,2.7,"at 5,400 m 460 km/h",14.2 m/s,Sweden,▄B-239
b_24d,B 24D,b_24d.png,B 24D,RW_b_24d_rw.png,USA,B-24D-25-CO,b24d,Bomber,IV,5.7,"at 7,620 m 494464511477 km/h",4.62.96.63 m/s,USA,B-24D-25-CO
b_25j_1,B 25J 1,b_25j_1.png,B-25J-1,RW_b_25j_1_rw.png,USA,SB-25J,b25j1,Bomber,II,3.7,"at 3,049 m 444 km/h",7.7 m/s,USA,B-25J-1
b_25j_20,B 25J 20,b_25j_20.png,B-25J-20,RW_b_25j_20_rw.png,USA,B-25J-20,b25j20,Bomber,II,3.7,"at 3,049 m 444409469424 km/h",7.75.410.55.4 m/s,USA,B-25J-20
b_25j_30_china,B 25J 30 China,b_25j_30_china.png,B 25J 30 China,RW_b_25j_30_china_rw.png,USSR,B-25J-30,b25j30china,Bomber,III,3.7,"at 3,049 m 444 km/h",7.7 m/s,China,␗B-25J-30
b_25j_30_vvs_ussr,B 25J 30 Vvs Ussr,b_25j_30_vvs_ussr.png,B 25J 30 Vvs Ussr,RW_b_25j_30_vvs_ussr_rw.png,STILL_NOT_FOUND,B-25J-30,b25j30vvs,Bomber,III,3.7,"at 3,049 m 444 km/h",7.7 m/s,USSR,▂B-25J-30
b_26b_c,B 26B C,b_26b_c.png,B 26B C,RW_b_26b_c_rw.png,France,B-26C,b26bc,Bomber,III,4.3,"at 3,962 m 491448525460 km/h",5.62.310.32.3 m/s,USA,B-26B
b_26c_france,B 26C France,b_26c_france.png,B 26C France,RW_b_26c_france_rw.png,STILL_NOT_FOUND,B-26C,b26cfrance,Bomber,III,4.3,"at 3,962 m 491448525460 km/h",5.62.310.32.3 m/s,France,B-26C
b_29,B-29,b-29.png,B-29,RW_b_29_rw.png,USSR,B-29,b29,Bomber,IV,7,"at 9,100 m 641 km/h",6.5 m/s,USA,B-29A-BN
b_29a_bn,B-29A-BN,b-29.png,B-29A-BN,RW_b_29a_bn.png,,B-29A-BN,b29abn,Bomber,IV,7,"at 9,100 m 641 km/h",6.5 m/s,USA,B-29A-BN
b_34,B 34,b_34.png,B-34,RW_b_34_rw.png,USA,B-34,b34,Bomber,II,3.3,"at 4,572 m 539 km/h",12 m/s,USA,B-34
b_48_firecrest,B 48 Firecrest,b_48_firecrest.png,B 48 Firecrest,RW_b_48_firecrest_rw.png,Great Britain,Firecrest,b48firecrest,Strike aircraft,II,2.3,"at 5,791 m 608567635585 km/h",1915.423.615.4 m/s,Great Britain,Firecrest
b_57,B-57,b-57.png,B-57,RW_b_57_rw.png,USA,B-57A,b57,Bomber,V,8.3,at 0 m 946901960927 km/h,322340.224.8 m/s,USA,B-57A
b_57b,B-57B,b-57b.png,B-57B,RW_b_57b_rw.png,USA,B-57B,b57b,Bomber,V,8.3,at 762 m 963890987928 km/h,28.521.137.421.1 m/s,USA,B-57B
b_66b,B 66B,b_66b.png,B-66B,RW_b_66b_rw.png,USA,B-66B,b66b,Bomber,VI,9,"at 1,524 m 1,074 km/h",25.4 m/s,USA,B-66B
b5n2,B5N2,b5n2.png,B5N2,RW_b5n2_rw.png,Japan,B5N2,b5n2,Bomber,I,1.3,"at 3,600 m 378 km/h",6.5 m/s,Japan,B5N2
b6n1,B6N1,b6n1.png,B6N1,RW_b6n1_rw.png,Japan,B6N1 Model 11,b6n1,Torpedo bomber,I,1.7,"at 4,800 m 464 km/h",11.1 m/s,Japan,B6N1 Model 11
b6n2,B6N2,b6n2.png,B6N2,RW_b6n2_rw.png,Japan,B6N2,b6n2,Bomber,II,2.3,"at 4,900 m 481 km/h",11.5 m/s,Japan,B6N2 Model 12
b6n2a,B6N2A,b6n2a.png,B6N2A,RW_b6n2a_rw.png,Japan,B6N2a Model 12Ko,b6n2a,Torpedo bomber,II,2.3,"at 4,900 m 481 km/h",11.5 m/s,Japan,B6N2a Model 12Ko
b7a2,B7A2,b7a2.png,B7A2,RW_b7a2_rw.png,Japan,B7A2,b7a2,Bomber,III,3.7,"at 6,550 m 565 km/h",10.47 m/s,Japan,B7A2
b7a2_homare_23,B7A2 Homare 23,b7a2_homare_23.png,B7A2Â (HomareÂ 23),RW_b7a2_homare_23_rw.png,Japan,B7A2 (Homare 23),b7a2homare23,Bomber,III,3.7,"at 6,000 m 564 km/h",11.6 m/s,Japan,B7A2 (Homare 23)
ba_65_k14_l,Ba 65 K14 L,ba_65_k14_l.png,Ba 65 K14 L,RW_ba_65_k14_l_rw.png,Italy,Ba.65 (K.14) L,ba65k14l,Strike aircraft,I,1.3,"at 5,600 m 490 km/h",7.6 m/s,Italy,Ba.65 (K.14) L
baz_meshupar,Baz Meshupar,f_15c_baz_msip.png,Baz Meshupar,RW_baz_meshupar.png,,Baz Meshupar,bazmeshupar,Fighter,VIII,13.7,"at 10,668 m 2,592 km/h",330 m/s,Israel,Baz Meshupar
bb_1,Bb-1,bb-1.png,BB-1,RW_bb_1_rw.png,USSR,BB-1,bb1,Strike aircraft,I,,"at 6,600 m 467 km/h",9.8 m/s,USSR,BB-1
be_6,Be 6,be_6.png,Be-6,RW_be_6_rw.png,USSR,Be-6,be6,Bomber,IV,5,"at 2,135 m 418386438400 km/h",97.211.27.2 m/s,USSR,Be-6
beaufighter_mk1_40mm,Beaufighter Mk1 40Mm,beaufighter_mk1_40mm.png,Beaufighter Mk1 40Mm,RW_beaufighter_mk1_40mm_rw.png,Great Britain,Beaufighter Mk I (40-mm),beaufightermk140mm,Strike aircraft,II,2.3,"at 4,878 m 504464530481 km/h",84.812.24.8 m/s,Great Britain,Beaufighter Mk I (40-mm)
beaufighter_mk21,Beaufighter Mk21,beaufighter_mk21.png,Beaufighter Mk21,RW_beaufighter_mk21_rw.png,Great Britain,Beaufighter Mk 21,beaufightermk21,Strike aircraft,II,3.7,"at 5,000 m 520 km/h",10.1 m/s,Great Britain,Beaufighter Mk 21
beaufighter_mk6c,Beaufighter Mk6C,beaufighter_mk6c.png,Beaufighter Mk6C,RW_beaufighter_mk6c_rw.png,Great Britain,Beaufighter Mk6C,beaufightermk6c,Strike aircraft,II,3,"at 5,000 m 536500558515 km/h",10.57.314.47.3 m/s,Great Britain,Beaufighter Mk VIc
beaufighter_mkx,Beaufighter Mkx,beaufighter_mkx.png,Beaufighter Mkx,RW_beaufighter_mkx_rw.png,Great Britain,Beaufighter Mk X,beaufightermkx,Strike aircraft,II,3,"at 2,600 m 490 km/h",10.6 m/s,Great Britain,Beaufighter Mk X
beaufort_mkviii,Beaufort Mkviii,beaufort_mkviii.png,Beaufort Mkviii,RW_beaufort_mkviii_rw.png,Great Britain,Beaufort Mk VIII,beaufortmkviii,Bomber,I,1.7,"at 1,981 m 437404456420 km/h",6.13.78.93.8 m/s,Great Britain,Beaufort Mk VIII
bf_109_b_1,Bf 109 B-1,bf-109b_2.png,Bf 109 B-1,RW_bf_109_b_1.png,,Bf 109 B-1,bf109b1,Fighter,I,1.3,"at 4,000 m 465 km/h",10.2 m/s,Germany,Bf 109 B-1
bf_109a_1,Bf-109A 1,bf-109a_1.png,Bf-109A 1,RW_bf_109a_1_rw.png,Germany,Flegel's Bf 109 A,bf109a1,Fighter,I,1.3,"at 4,000 m 444 km/h",9.3 m/s,Germany,Flegel's Bf 109 A
bf_109b_2,Bf-109B 2,bf-109b_2.png,Bf-109B 2,RW_bf_109b_2_rw.png,USA,Bf-109B 2,bf109b2,Fighter,I,1.3,"at 4,000 m 465 km/h",10.2 m/s,Germany,Bf 109 B-1
bf_109c_1,Bf-109C 1,bf-109c_1.png,Bf-109C 1,RW_bf_109c_1_rw.png,Germany,Bf 109 C-1,bf109c1,Fighter,I,,"at 4,000 m 484449505465 km/h",10.88.114.18.1 m/s,Germany,Bf 109 C-1
bf_109c_1_promo,Bf-109C 1 Promo,bf-109c_1_promo.png,Bf-109C 1 Promo,RW_bf_109c_1_promo_rw.png,Germany,Bf-109C 1 Promo,bf109c1promo,Fighter,I,,"at 4,000 m 484449505465 km/h",10.88.114.18.1 m/s,Germany,Bf 109 C-1
bf_109e_1,Bf-109E-1,bf-109e-1.png,Bf-109E-1,RW_bf_109e_1_rw.png,Germany,Bf 109 E-1,bf109e1,Fighter,II,2.3,"at 5,000 m 570 km/h",17.8 m/s,Germany,Bf 109 E-1
bf_109e_3,Bf-109E-3,bf-109e-3.png,Bf-109E-3,RW_bf_109e_3_rw.png,Germany,Bf 109 E-3,bf109e3,Fighter,II,2.3,"at 5,000 m 570 km/h",17.8 m/s,Germany,Bf 109 E-3
bf_109e_4,Bf-109E-4,bf-109e-4.png,Bf-109E-4,RW_bf_109e_4_rw.png,Germany,Bf 109 E-4,bf109e4,Fighter,II,3,"at 5,000 m 580543604558 km/h",17.814.122.414.1 m/s,Germany,Bf 109 E-4
bf_109e_7,Bf-109E-7,bf-109e-7.png,Bf-109E-7,RW_bf_109e_7_rw.png,Japan,Bf 109 E-7/U2,bf109e7,Fighter,II,3,"at 5,000 m 570 km/h",17.8 m/s,Germany,Bf 109 E-7/U2
bf_109f_1,Bf-109F-1,bf-109f-1.png,Bf-109F-1,RW_bf_109f_1_rw.png,Germany,Bf 109 F-1,bf109f1,Fighter,II,2.7,"at 5,000 m 614575639591 km/h",2016.724.116.7 m/s,Germany,Bf 109 F-1
